id   ,name         ,right_ascension  ,right_ascension_err ,declination      ,declination_err ,period_s              ,period_s_err ,dm         ,dm_err ,distance_kpc ,distance_dm_kpc
  51 ,B0045+33     ,00:48:33.98      ,                  3 ,+34:12:08.0      ,              4 ,1.217094296058        ,           8 ,39.922     ,    15 ,4.500        ,4.500
  52 ,J0050+03     ,00:50:31         ,                113 ,+03:48           ,              8 ,1.36656               ,           0 ,26.5       ,     0 ,25.000       ,+25.00
  53 ,J0051+0423   ,00:51:30.1       ,                  2 ,+04:22:49        ,              6 ,0.35473179890         ,           1 ,13.93      ,     9 ,1.250        ,1.250
  54 ,J0052-72     ,00:52:28         ,                 95 ,-72:05           ,              7 ,0.191444328           ,          46 ,158.6      ,    16 ,60.261       ,60.261
  55 ,J0054+66     ,00:54            ,                  0 ,+66              ,              0 ,1.39                  ,           0 ,15         ,     0 ,0.901        ,0.901
  56 ,J0054+69     ,00:54:28         ,                 25 ,+69:26           ,              2 ,*                     ,           0 ,90.3       ,     2 ,2.347        ,2.347
  57 ,J0054+6946   ,00:54:59.116     ,                  7 ,+69:46:16.85     ,              4 ,0.832911328744        ,           5 ,116.52     ,     5 ,2.758        ,2.758
  58 ,B0052+51     ,00:55:45.3981    ,                  1 ,+51:17:24.601    ,              1 ,2.115171148865        ,           4 ,44.0127    ,    24 ,2.857        ,1.935
  59 ,B0053+47     ,00:56:25.51      ,                  2 ,+47:56:10.5      ,              3 ,0.472036662076        ,           7 ,18.1354    ,    13 ,1.123        ,1.123
  60 ,J0057-7201   ,00:57:44.0       ,                  4 ,-72:01:19        ,              2 ,0.7380624426          ,           2 ,27         ,     5 ,3.476        ,3.476
  61 ,J0058+4950   ,00:58:09.98      ,                  3 ,+49:50:26.0      ,              3 ,0.99602345227         ,           4 ,66.953     ,     7 ,2.646        ,2.646
  62 ,J0058+6125   ,00:58            ,                  0 ,+61:25           ,              0 ,0.637                 ,           0 ,128.3      ,     2 ,2.597        ,2.597
  63 ,J0058-7218   ,00:58:16.7       ,                  2 ,-72:18:06        ,              1 ,0.02176610763         ,          19 ,*          ,     0 ,59.700       ,*
  64 ,J0059+69     ,00:59:30         ,                 36 ,+69:55           ,              3 ,1.1459                ,           0 ,63.53      ,     5 ,2.048        ,2.048
  65 ,J0100-7211   ,01:00:43.03      ,                 11 ,-72:11:33.6      ,              5 ,8.020392              ,           9 ,*          ,     0 ,59.700       ,*
  66 ,J0100+8023   ,01:00:16.09      ,                  1 ,+80:23:41.75     ,              3 ,1.4936009186          ,           2 ,56.0062    ,     8 ,2.848        ,2.848
  67 ,J0101-6422   ,01:01:11.1163    ,                  2 ,-64:22:30.171    ,              2 ,0.0025731519721683    ,           2 ,11.9210    ,     4 ,1.001        ,1.001
  68 ,J0102+4839   ,01:02:50.668     ,                  3 ,+48:39:42.76     ,              4 ,0.00296               ,           0 ,53.5       ,     0 ,2.310        ,2.310
  69 ,B0059+65     ,01:02:32.9914    ,                  1 ,+65:37:13.416    ,              1 ,1.679164229064        ,          12 ,65.853     ,    16 ,2.500        ,1.978
  70 ,J0103+54     ,01:03:37         ,                 20 ,+54:02           ,              5 ,0.354304              ,           6 ,55.605     ,     4 ,2.010        ,2.010
  71 ,J0104+64     ,01:04            ,                  0 ,+64              ,              0 ,1.386                 ,           0 ,44.6       ,     3 ,1.711        ,1.711
  72 ,J0106+4855   ,01:06:25.06      ,                  1 ,+48:55:51.8      ,              2 ,0.0831573050050       ,           6 ,70.87      ,    20 ,3.063        ,3.063
  73 ,J0107+1322   ,01:07:39.95      ,                  2 ,+13:22:31.7      ,              8 ,1.1973833938          ,           1 ,21.671     ,     1 ,2.349        ,2.349
  74 ,J0108-1431   ,01:08:08.347016  ,                 88 ,-14:31:50.1871   ,             11 ,0.807564614019        ,          20 ,2.38       ,    19 ,0.210        ,0.232
  75 ,B0105+65     ,01:08:22.5049    ,                  3 ,+66:08:34.499    ,              1 ,1.2836598429          ,           5 ,30.5482    ,    14 ,2.128        ,1.461
  76 ,B0105+68     ,01:08:29.50      ,                  2 ,+69:05:52.63     ,             11 ,1.071118109859        ,           5 ,61.0617    ,    36 ,1.981        ,1.981
  77 ,J0109+11     ,01:09            ,                  4 ,+11:32           ,             15 ,0.4327                ,           0 ,17         ,     2 ,1.566        ,1.566
  78 ,J0110-22     ,01:10            ,                  0 ,-22              ,              0 ,1.262                 ,           0 ,20.8       ,     3 ,25.000       ,+25.00
  79 ,J0111+6624   ,01:11:21.87      ,                 13 ,+66:24:10.8      ,              7 ,4.3018721008          ,           4 ,111.20     ,     3 ,2.412        ,2.412
  80 ,J0111-7131   ,01:11:28.77      ,                  9 ,-71:31:46.8      ,              6 ,0.68854151164         ,           5 ,79.4       ,     5 ,59.700       ,59.325
  81 ,J0113-7220   ,01:13:11.09      ,                  3 ,-72:20:32.20     ,             15 ,0.32588301613         ,           1 ,125.49     ,     2 ,59.700       ,60.999
  82 ,J0115+6325   ,01:15:45.87      ,                  1 ,+63:25:50.8      ,              1 ,0.521455427473        ,           5 ,65.069     ,     4 ,1.931        ,1.931
  83 ,B0114+58     ,01:17:38.661     ,                  3 ,+59:14:38.39     ,              3 ,0.1014390664824       ,          20 ,49.42068   ,    59 ,1.768        ,1.768
  84 ,J0121+53     ,01:21            ,                 11 ,+53:29           ,             16 ,2.7247846             ,           4 ,91.38      ,     3 ,2.644        ,2.644
  85 ,J0122+1416   ,01:22:01.31      ,                  3 ,+14:16:17        ,              1 ,1.38899395038         ,           2 ,17.693     ,     3 ,1.584        ,1.584
  86 ,J0125-2327   ,01:25:10         ,                  0 ,-23:27:26        ,              0 ,0.00367586            ,           0 ,9.5974     ,     3 ,0.873        ,0.873
  87 ,J0125+62     ,01:26            ,                  3 ,+62:35           ,             18 ,1.708233              ,          98 ,118.0      ,     5 ,2.403        ,2.403
  88 ,J0131-7310   ,01:31:28.51      ,                  3 ,-73:10:09.34     ,             13 ,0.348124045581        ,           7 ,205.22     ,     6 ,59.700       ,100.000
  89 ,J0133-6957   ,01:33:32.46      ,                  1 ,-69:57:29.68     ,              3 ,0.463473741703        ,           3 ,22.948     ,     8 ,2.441        ,2.441
  90 ,J0134-2937   ,01:34:18.6824    ,                  3 ,-29:37:17.042    ,              7 ,0.136961610513651     ,          14 ,21.806     ,     6 ,25.000       ,+25.00
  91 ,J0137+1654   ,01:37:23.88      ,                  1 ,+16:54:42.1      ,              4 ,0.4147630265082       ,           5 ,26.0838    ,    24 ,3.061        ,3.061
  92 ,J0137+6349   ,01:37:13.365     ,                 18 ,+63:49:34.35     ,             12 ,0.717962726847        ,           6 ,285.50     ,     6 ,9.097        ,9.097
  93 ,J0139+3336   ,01:39:57.23      ,                  4 ,+33:36:59.7      ,              9 ,1.2479609557          ,           1 ,21.23      ,     1 ,1.472        ,1.472
  94 ,J0139+5621   ,01:39:38.56      ,                  2 ,+56:21:36.8      ,              4 ,1.77534382596         ,          10 ,101.842    ,    32 ,2.410        ,2.410
  95 ,B0136+57     ,01:39:19.7401    ,                 12 ,+58:14:31.819    ,             17 ,0.272450630950        ,          15 ,73.81141   ,    76 ,2.600        ,2.006
  96 ,B0138+59     ,01:41:39.938     ,                  8 ,+60:09:32.30     ,              7 ,1.2229485205457       ,          18 ,34.926     ,     4 ,2.300        ,1.498
  97 ,J0141+63     ,01:41            ,                  2 ,+63:08           ,              8 ,0.04668588            ,          49 ,272.80     ,     2 ,8.774        ,8.774
  98 ,J0146+31     ,01:46:15         ,                 40 ,+31:04           ,             10 ,0.9381                ,           0 ,25         ,     1 ,1.826        ,1.826
  99 ,J0146+6145   ,01:46:22.42      ,                 10 ,+61:45:02.8      ,              7 ,8.6889941             ,           4 ,*          ,     0 ,3.600        ,*
 100 ,B0144+59     ,01:47:44.6434    ,                  1 ,+59:22:03.284    ,              1 ,0.19632137543003      ,          16 ,40.111     ,     3 ,2.128        ,1.578
 101 ,B0148-06     ,01:51:22.7179    ,                  2 ,-06:35:02.987    ,              2 ,1.464664549334        ,           7 ,25.66      ,     3 ,25.000       ,+25.00
 102 ,J0152+0948   ,01:52:23.73      ,                  5 ,+09:48:10        ,              2 ,2.74664729014         ,          10 ,22.881     ,    12 ,2.477        ,2.477
 103 ,B0149-16     ,01:52:10.8539    ,                  1 ,-16:37:53.641    ,              2 ,0.8327416126878       ,          13 ,11.92577   ,     4 ,0.920        ,0.920
 104 ,J0154+1833   ,01:54:36.88273   ,                  3 ,+18:33:50.758    ,              9 ,0.0023645697763006    ,           5 ,19.7978    ,     1 ,1.622        ,1.622
 105 ,J0156+04     ,01:56:01         ,                114 ,+04:02           ,              8 ,*                     ,           0 ,27.5       ,     0 ,25.000       ,+25.00
 106 ,B0153+39     ,01:56:55.2       ,                  3 ,+39:49:29        ,              5 ,1.81156061131         ,          10 ,59.833     ,    11 ,4.916        ,4.916
 107 ,B0154+61     ,01:57:49.9434    ,                  1 ,+62:12:26.648    ,              1 ,2.35174493646         ,           7 ,30.21      ,     3 ,1.786        ,1.385
 108 ,J0158+21     ,01:58:29         ,                 32 ,+21:08           ,              8 ,0.5053                ,           0 ,20         ,     0 ,1.569        ,1.569
 109 ,J0201+7005   ,02:01:41.344     ,                  7 ,+70:05:18.11     ,              6 ,1.349184471846        ,          10 ,21.029     ,     2 ,1.172        ,1.172
 110 ,J0203-0150   ,02:03:33.91215   ,                  4 ,-01:50:01.5874   ,              9 ,0.0051733218641960    ,           4 ,19.2188    ,     7 ,1.837        ,1.837
 111 ,J0205+6449   ,02:05:37.92247   ,                 15 ,+64:49:41.3343   ,             10 ,0.06571592849324      ,           9 ,140.7      ,     3 ,3.200        ,2.784
 112 ,B0203-40     ,02:06:01.293     ,                  5 ,-40:28:03.62     ,              7 ,0.630551259569        ,           4 ,12.9       ,    12 ,1.260        ,1.260
 113 ,J0209+5759   ,02:09:37.304     ,                 16 ,+57:59:45.31     ,             18 ,1.063906282526        ,          14 ,55.282     ,     0 ,1.743        ,1.743
 114 ,J0210+5845   ,02:10:55.4       ,                  1 ,+58:45:04        ,              1 ,1.766208099           ,           2 ,76.772     ,     6 ,1.952        ,1.952
 115 ,J0211-8159   ,02:11:59.0       ,                  3 ,-81:59:36.2      ,              3 ,1.0773327013          ,           8 ,24.36      ,     3 ,1.523        ,1.523
 116 ,J0212+5222   ,02:12:52.138     ,                  6 ,+52:22:49.50     ,              5 ,0.3763863640606       ,          15 ,38.21      ,     3 ,1.558        ,1.558
 117 ,J0214+5222   ,02:14:55.2713    ,                 34 ,+52:22:40.95     ,             19 ,0.02457529479071      ,          22 ,22.0354    ,    34 ,1.161        ,1.161
 118 ,J0215+6218   ,02:15:56.626     ,                 10 ,+62:18:33.37     ,             10 ,0.548879819155        ,           3 ,84.00      ,     5 ,2.004        ,2.004
 119 ,J0218+4232   ,02:18:06.358569  ,                  4 ,+42:32:17.37515  ,              8 ,0.00232309053151224   ,           8 ,61.252     ,     5 ,3.150        ,2.928
 120 ,J0220+3626   ,02:20:42.12      ,                  2 ,+36:26:55.7      ,              2 ,1.0297                ,           0 ,40         ,    10 ,2.240        ,2.240
 121 ,J0227+3356   ,02:26:57.060     ,                  1 ,+33:56:27.76     ,              7 ,1.240102460176        ,           4 ,27         ,     1 ,1.595        ,1.595
 122 ,J0229+20     ,02:29:03         ,                 32 ,+20:58           ,              8 ,0.8069                ,           0 ,27         ,     0 ,2.089        ,2.089
 123 ,B0226+70     ,02:31:13.99      ,                  3 ,+70:26:33.88     ,             17 ,1.466820306152        ,           7 ,46.6794    ,    16 ,1.755        ,1.755
 124 ,J0241+16     ,02:41:46         ,                 31 ,+16:04           ,              8 ,1.5454                ,           0 ,16         ,     0 ,0.936        ,0.936
 125 ,J0242+62     ,02:42:35         ,                  3 ,+62:56:50        ,             36 ,0.592                 ,           0 ,3.92       ,    16 ,0.217        ,0.217
 126 ,J0243+6027   ,02:43            ,                  0 ,+60:27           ,              0 ,1.473                 ,           0 ,141.0      ,     4 ,2.717        ,2.717
 127 ,J0244+14     ,02:44:51         ,                 31 ,+14:27           ,              8 ,2.1281                ,           0 ,31         ,     0 ,2.796        ,2.796
 128 ,J0248+4230   ,02:48:31.003     ,                  1 ,+42:30:20.49     ,              5 ,0.0026008347856317    ,           3 ,48.2634    ,     1 ,1.853        ,1.853
 129 ,J0248+6021   ,02:48:18.617     ,                  1 ,+60:21:34.72     ,              1 ,0.217094              ,           5 ,370        ,     1 ,2.000        ,+25.00
 130 ,J0250+5854   ,02:50:17.78      ,                  3 ,+58:54:01.3      ,              2 ,23.535378476          ,           1 ,45.281     ,     3 ,1.558        ,1.558
 131 ,J0251+2606   ,02:51:02.5537    ,                  5 ,+26:06:09.97     ,              2 ,0.0025415543469461    ,           3 ,20.2166    ,     0 ,1.170        ,1.170
 132 ,B0254-53     ,02:55:56.2925    ,                  9 ,-53:04:21.275    ,              9 ,0.4477084731988       ,           3 ,15.9       ,     5 ,1.514        ,1.514
 133 ,J0301+35     ,03:01            ,                  0 ,+35              ,              0 ,0.1468                ,           0 ,57.43      ,    15 ,3.100        ,3.100
 134 ,J0302+2252   ,03:02:31.990     ,                  4 ,+22:52:12.1      ,              2 ,1.207164839778        ,           2 ,18.9922    ,     6 ,1.014        ,1.014
 135 ,B0301+19     ,03:04:33.115     ,                 16 ,+19:32:51.4      ,              8 ,1.387584446262        ,           3 ,15.65677   ,    35 ,0.739        ,0.739
 136 ,J0305+11     ,03:05:06         ,                 12 ,+11:23           ,              3 ,0.8621                ,           0 ,27.97      ,     6 ,1.838        ,1.838
 137 ,J0307+7443   ,03:07:55         ,                  0 ,+74:43:12        ,              0 ,0.00316               ,           0 ,6.35       ,     0 ,0.386        ,0.386
 138 ,J0312-0921   ,03:12:06.2       ,                  0 ,-9:21:56         ,              0 ,0.003704              ,           0 ,20.5       ,     0 ,0.817        ,0.817
 139 ,J0317+13     ,03:17:54         ,                 12 ,+13:29           ,              3 ,1.9743                ,           0 ,12.90      ,     4 ,0.366        ,0.366
 140 ,J0318+0253   ,03:18:15.541     ,                  1 ,+02:53:01.48     ,              5 ,0.0051898521745201    ,          14 ,25.98      ,     8 ,1.328        ,1.328
 141 ,B0320+39     ,03:23:26.6619    ,                  1 ,+39:44:52.403    ,              1 ,3.032071956385        ,          10 ,26.18975   ,    93 ,0.952        ,1.197
 142 ,J0324+5239   ,03:24:55.46      ,                  4 ,+52:39:31.3      ,              2 ,0.336620230291        ,           3 ,115.4636   ,    29 ,2.290        ,2.290
 143 ,J0325+6744   ,03:25:05.11      ,                  3 ,+67:44:59.39     ,             12 ,1.364678767282        ,          15 ,65.28      ,     5 ,1.929        ,1.929
 144 ,J0329+1654   ,03:29:08.55      ,                  3 ,+16:54:02        ,              2 ,0.893319660649        ,           1 ,40.821     ,    36 ,2.557        ,2.557
 145 ,B0329+54     ,03:32:59.4096    ,                  1 ,+54:34:43.329    ,              1 ,0.714519699726        ,           4 ,26.7641    ,     1 ,1.695        ,1.183
 146 ,B0331+45     ,03:35:16.6416    ,                  1 ,+45:55:53.452    ,              1 ,0.26920054092953      ,          13 ,47.14571   ,    29 ,2.439        ,1.535
 147 ,J0335+6623   ,03:35:57.06      ,                 14 ,+66:23:23.6      ,             11 ,1.76193424742         ,          19 ,66.726     ,     2 ,1.907        ,1.907
 148 ,J0337+1715   ,03:37:43.82589   ,                 13 ,+17:15:14.828    ,              2 ,0.00273258863244      ,           9 ,21.3162    ,     3 ,1.300        ,0.816
 149 ,J0337+79     ,03:37:22         ,                  0 ,+79:01:44        ,              0 ,2.05621               ,           6 ,16.67      ,     2 ,1.053        ,1.053
 150 ,J0340+4130   ,03:40:23.287961  ,                 11 ,+41:30:45.2911   ,              3 ,0.003299339366490734  ,          17 ,49.5865    ,    16 ,1.603        ,1.603
 151 ,J0341+5711   ,03:41            ,                  0 ,+57:11           ,              0 ,1.888                 ,           0 ,101.0      ,     5 ,2.037        ,2.037
 152 ,J0343+06     ,03:43            ,                  0 ,+06              ,              0 ,1.00764               ,           0 ,46.0       ,     3 ,3.774        ,3.774
 153 ,J0343-3000   ,03:43:27.94      ,                  3 ,-30:00:27.5      ,              4 ,2.59702715738         ,           9 ,20.2       ,     3 ,1.594        ,1.594
 154 ,B0339+53     ,03:43:12.90      ,                  5 ,+53:12:53.4      ,              7 ,1.934478067294        ,          15 ,67.30      ,     6 ,1.705        ,1.705
 155 ,J0344-0901   ,03:44:37.471     ,                  2 ,-09:01:02.66     ,             10 ,1.226005572598        ,          13 ,30.9       ,     3 ,1.507        ,1.507
 156 ,J0348+0432   ,03:48:43.639000  ,                  4 ,+04:32:11.4580   ,              2 ,0.0391226569017806    ,           7 ,40.46313   ,    11 ,2.100        ,2.256
 157 ,J0349+2340   ,03:49:57.38      ,                  4 ,+23:40:53        ,              2 ,2.42077097760         ,           4 ,62.962     ,     5 ,3.746        ,3.746
 158 ,J0355+28     ,03:55            ,                  0 ,+28              ,              0 ,0.0943                ,           0 ,48.68      ,    10 ,1.789        ,1.789
 159 ,J0357-05     ,03:57:56         ,                  0 ,-05:09:44        ,              0 ,*                     ,           0 ,56.4       ,     0 ,25.000       ,+25.00
 160 ,J0357+3205   ,03:57:52.5       ,                  2 ,+32:05:25        ,              6 ,0.4441044988          ,           6 ,*          ,     0 ,0.835        ,*
 161 ,B0353+52     ,03:57:44.8403    ,                  2 ,+52:36:57.493    ,              1 ,0.1970300980314       ,           3 ,103.706    ,     4 ,3.571        ,2.025
 162 ,J0358+4155   ,03:58:03.1746    ,                 13 ,+41:55:19.03     ,              3 ,0.2264843322519       ,           3 ,46.325     ,     1 ,1.481        ,1.481
 163 ,B0355+54     ,03:58:53.7238    ,                  2 ,+54:13:13.784    ,              3 ,0.156384121559        ,           8 ,57.1420    ,     3 ,1.000        ,1.594
 164 ,J0358+6627   ,03:58:37.929     ,                  4 ,+66:27:46.57     ,              3 ,0.09150578075475      ,          17 ,62.33      ,     1 ,1.884        ,1.884
 165 ,J0359+5414   ,03:59:26.01      ,                  2 ,+54:14:55.7      ,              3 ,0.0794272322920       ,          13 ,*          ,     0 ,*            ,*
 166 ,B0403-76     ,04:01:51.75      ,                  1 ,-76:08:12.95     ,              5 ,0.54525418661         ,           3 ,21.7       ,     1 ,1.014        ,1.014
 167 ,J0402+4825   ,04:02:40.633     ,                  9 ,+48:25:57.51     ,              7 ,0.512194448731        ,           3 ,85.7       ,     3 ,1.849        ,1.849
 168 ,J0405+3347   ,04:05            ,                  0 ,+33              ,              0 ,0.0165                ,           0 ,53.300     ,    16 ,1.668        ,1.668
 169 ,J0406+30     ,04:06            ,                  0 ,+30              ,              0 ,0.0026                ,           0 ,49.37      ,     3 ,1.641        ,1.641
 170 ,B0402+61     ,04:06:30.0806    ,                  2 ,+61:38:41.408    ,              1 ,0.5945761650437       ,           8 ,65.4053    ,    34 ,4.545        ,1.785
 171 ,J0407+1607   ,04:07:54.939     ,                  3 ,+16:07:16.4      ,              2 ,0.02570173919463      ,           2 ,35.593     ,     6 ,1.337        ,1.337
 172 ,J0408+551    ,04:08            ,                  0 ,+55              ,              0 ,1.837                 ,           0 ,55         ,     0 ,1.573        ,1.573
 173 ,J0408+552    ,04:08            ,                  0 ,+55              ,              0 ,0.754                 ,           0 ,63.8       ,     2 ,1.661        ,1.661
 174 ,J0410-31     ,04:10:39         ,                 33 ,-31:07:29        ,            420 ,1.8785                ,           2 ,9.2        ,     3 ,0.415        ,0.415
 175 ,J0413+58     ,04:13            ,                  0 ,+58              ,              0 ,0.687                 ,           0 ,57.0       ,     2 ,1.630        ,1.630
